X1,b0,rho_V,sd_V,alpha,iota,sigmaSE,br,N,mu_EI,mu_IR,rho_Y,S_0,E_0,I_0,R_0,eta,od_Y,loglik,loglik.se
25,0.134718039,146.3155438,3399.4466,1.15318683,0.737730869,1.146883135,7.482025856,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0059259,0.043494467
35,0.110634992,150.7142871,3570.745691,1.196495838,1.100094614,1.238048572,4.089594527,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0066882,0.053154799
NA,0.21555544716814973,155.00000000000003,3422.46383744972,1.0389979085397576,0.3341138322218102,1.175287489368555,9.684663740697527,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0068821067578,0.18614848913606535
36,0.12456227,153.8201029,3622.735023,1.175737484,2.541979514,1.178100614,2.860846147,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.007893,0.048349439
NA,0.28963944775353956,149.50000000000006,3235.7728059951587,1.0053110085605423,0.26736133279616464,1.1852897401749731,5.80266998871139,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0084419224363,0.17692860368046273
13,0.308056744,155.4376879,3727.312171,0.981767115,0.456900671,1.228962066,7.317529208,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0095866,0.060885524
2,0.17410615,150.4698536,3545.351902,1.120309332,0.136446737,1.130603345,3.880516709,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0113261,0.044316135
19,0.137042737,155.6560318,3754.437428,1.142599143,6.949592242,1.172053703,6.300734352,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0119113,0.156207934
18,0.265729228,156.2947291,3677.531189,1.017545822,0.143922167,1.210837196,7.669479941,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0123006,0.04851675
2,0.152638951,153.6879745,3725.890686,1.122267517,2.05727311,1.148901894,6.441202197,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0126137,0.048934025
10,0.14851429,152.3150645,3614.252022,1.143580515,1.29549342,1.254386753,2.215436803,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0136956,0.059028345
50,0.223371905,151.9474432,3543.946066,1.047980599,1.814600177,1.211522451,10.06190202,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0152849,0.047679932
9,0.274499259,153.756108,3588.695962,0.991490053,3.355268846,1.245345552,12.02568516,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.016778,0.070744772
