,b0,alpha,iota,sigmaSE,br,N,mu_EI,mu_IR,rho_Y,S_0,E_0,I_0,R_0,eta,od_Y,rho_V,sd_V,loglik,loglik.se
26,0.146586986,1.123517843,0.330537073,1.090122454,8.457568519,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7818077,0.018765245
27,0.148380387,1.121377451,0.691756158,1.104052116,8.999548346,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8166355,0.014640232
28,0.129334684,1.155499969,0.26971539,1.154111809,6.694106065,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7781156,0.020054563
29,0.135168236,1.146083666,0.394544885,1.160076469,6.991859978,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7938916,0.017853349
30,0.157855905,1.112458066,0.638011289,1.149065489,6.713482044,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8259505,0.015697442
31,0.1312185,1.147709388,0.573214043,1.127530078,7.546056192,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7112362,0.019034842
32,0.148952047,1.119006141,1.686182273,1.119609138,8.412619238,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7814464,0.021871751
33,0.132067138,1.153199495,0.405035987,1.149931715,6.059697667,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7649093,0.021767886
34,0.159637289,1.110353069,0.651971529,1.120744616,8.319282145,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7812603,0.020028922
35,0.155445061,1.116081865,0.38337338,1.141322904,7.404815074,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7839125,0.018043465
36,0.159354124,1.110086951,0.402137492,1.141618925,9.856982391,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8067347,0.026563123
37,0.158785821,1.107561401,0.435658827,1.110563905,9.508588845,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8134939,0.019023283
38,0.137290956,1.13367262,0.347933068,1.145757533,8.652479645,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7679991,0.021497652
39,0.137823612,1.135325718,0.428664731,1.152616275,8.518067692,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7779417,0.017961556
40,0.170304046,1.09218967,0.180109536,1.119774787,9.428097754,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7264909,0.02017015
1,0.16425198,1.100176133,0.514400808,1.128380232,7.767254497,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7862967,0.017496491
2,0.172614578,1.089113413,0.225422174,1.132672636,10.93251601,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7796868,0.017065039
3,0.138498494,1.132145411,0.599641611,1.129324099,9.79734862,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7703533,0.012852535
4,0.184038277,1.080091398,0.217258945,1.117783105,8.845555755,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.796783,0.014672402
5,0.139812174,1.129645544,1.243219021,1.1207061,8.659529803,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7831365,0.02315612
6,0.166039196,1.099413796,0.560978587,1.116993938,8.642828459,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7915866,0.022357124
7,0.131419955,1.150918954,0.274343024,1.150592053,7.876758831,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7429982,0.019222363
